run_id,query_window_id,query_origin,query_input_start,method,rank,candidate_window_id,candidate_input_start,candidate_origin,candidate_target_end,kb_stride_hours,eligible_candidate_count,query_has_event_context,candidate_has_event_context,event_conditioning_applied,event_weight,total_score,time_series_score,weather_score,calendar_score,event_score_raw,event_score,aligned_future
20260827T043457543402Z,w_0058556,2025-09-05 20:00:00+00:00,2025-08-29 21:00:00+00:00,event_conditioned,5,w_0008768,2019-12-25 09:00:00+00:00,2020-01-01 08:00:00+00:00,2020-01-02 08:00:00+00:00,24,1824,False,True,False,0.0,0.6333920359611511,0.7427788972854614,0.4738253653049469,0.4055912494659424,0.0,0.0,"[33.01898193359375, 28.54869270324707, 18.63116455078125, 21.59162139892578, 19.460092544555664, 19.04562759399414, 19.28246307373047, 11.526068687438965, 10.489908218383789, 11.585277557373047, 9.039284706115723, 7.440638542175293, 8.032730102539062, 8.328775405883789, 8.328775405883789, 8.920866966247559, 9.394539833068848, 9.068889617919922, 10.282676696777344, 11.348441123962402, 12.32539176940918, 9.039284706115723, 9.33533000946045, 9.9866304397583]"
20260827T043457543402Z,w_0058589,2025-09-07 05:00:00+00:00,2025-08-31 06:00:00+00:00,event_conditioned,5,w_0040016,2023-07-19 09:00:00+00:00,2023-07-26 08:00:00+00:00,2023-07-27 08:00:00+00:00,24,1824,False,False,False,0.0,0.65408855676651,0.7114287614822388,0.5990923643112183,0.477379709482193,1.0,1.0,"[2.8203015327453613, 7.15336275100708, 7.8587446212768555, 4.432603359222412, 4.432603359222412, 9.370277404785156, 5.087601184844971, 3.9791436195373535, 4.33183479309082, 9.168740272521973, 11.88949966430664, 7.657207012176514, 10.377965927124023, 12.796419143676758, 9.87412166595459, 8.866433143615723, 9.168740272521973, 6.447980880737305, 9.672584533691406, 7.15336275100708, 11.788729667663574, 8.362588882446289, 9.370277404785156, 5.137985706329346]"
20260827T043457543402Z,w_0058749,2025-09-13 21:00:00+00:00,2025-09-06 22:00:00+00:00,event_conditioned,5,w_0046424,2024-04-11 09:00:00+00:00,2024-04-18 08:00:00+00:00,2024-04-19 08:00:00+00:00,24,1824,False,False,False,0.0,0.6896610260009766,0.77150559425354,0.513917088508606,0.6319261193275452,1.0,1.0,"[7.16642951965332, 6.352437496185303, 7.980422019958496, 9.309942245483398, 12.077516555786133, 10.612329483032227, 11.643386840820312, 11.887584686279297, 9.716938018798828, 11.860452651977539, 10.422399520874023, 8.550216674804688, 6.488102912902832, 6.67803430557251, 5.674110412597656, 5.728376865386963, 5.592711448669434, 4.99578332901001, 5.945441246032715, 5.592711448669434, 5.565577983856201, 4.941517353057861, 5.592711448669434, 5.457046031951904]"
20260827T043457543402Z,w_0059000,2025-09-24 08:00:00+00:00,2025-09-17 09:00:00+00:00,event_conditioned,6,w_0032864,2022-09-24 09:00:00+00:00,2022-10-01 08:00:00+00:00,2022-10-02 08:00:00+00:00,24,1824,False,False,False,0.0,0.71266770362854,0.6438599824905396,0.9845892190933228,0.5128634572029114,1.0,1.0,"[6.80444860458374, 9.98601245880127, 9.98601245880127, 8.395230293273926, 9.190621376037598, 6.645370960235596, 6.80444860458374, 4.418275833129883, 5.213666915893555, 5.213666915893555, 4.418275833129883, 5.213666915893555, 6.009057998657227, 6.80444860458374, 7.440761566162109, 7.599839687347412, 6.80444860458374, 6.645370960235596, 7.599839687347412, 9.190621376037598, 7.281683444976807, 7.440761566162109, 10.224629402160645, 7.838457107543945]"
20260827T043457543402Z,w_0061020,2025-12-17 12:00:00+00:00,2025-12-10 13:00:00+00:00,event_conditioned,3,w_0046520,2024-04-15 09:00:00+00:00,2024-04-22 08:00:00+00:00,2024-04-23 08:00:00+00:00,24,1824,False,False,False,0.0,0.7184529304504395,0.7658083438873291,0.6276730895042419,0.6632354259490967,1.0,1.0,"[31.726608276367188, 39.61945343017578, 47.512298583984375, 51.74748229980469, 58.67778778076172, 63.49049377441406, 52.132503509521484, 19.21356201171875, 17.095970153808594, 13.630817413330078, 23.256240844726562, 24.411287307739258, 11.128207206726074, 7.855565071105957, 10.165665626525879, 16.32593536376953, 4.967939376831055, 5.352956771850586, 18.636035919189453, 22.10118865966797, 13.053292274475098, 10.743191719055176, 4.390413284301758, 17.480987548828125]"
20260827T043457543402Z,w_0058913,2025-09-20 17:00:00+00:00,2025-09-13 18:00:00+00:00,hybrid_no_event,8,w_0030080,2022-05-31 09:00:00+00:00,2022-06-07 08:00:00+00:00,2022-06-08 08:00:00+00:00,24,1824,False,False,False,0.0,0.6915900707244873,0.7559841275215149,0.5535317063331604,0.6457365155220032,1.0,0.0,"[5.625977516174316, 7.640326499938965, 4.61880350112915, 6.633152008056641, 6.633152008056641, 7.640326499938965, 7.640326499938965, 5.625977516174316, 7.640326499938965, 7.640326499938965, 6.633152008056641, 7.640326499938965, 9.654675483703613, 9.654675483703613, 11.266154289245605, 10.964001655578613, 10.964001655578613, 8.949653625488281, 7.942479133605957, 5.7266950607299805, 6.935304641723633, 7.136739253997803, 6.633152008056641, 6.633152008056641]"
20260827T043457543402Z,w_0059113,2025-09-29 01:00:00+00:00,2025-09-22 02:00:00+00:00,hybrid_no_event,2,w_0041000,2023-08-29 09:00:00+00:00,2023-09-05 08:00:00+00:00,2023-09-06 08:00:00+00:00,24,1824,False,False,False,0.0,0.6963039636611938,0.7932552099227905,0.492890328168869,0.6183752417564392,1.0,0.0,"[4.9935994148254395, 4.9935994148254395, 5.094903945922852, 4.9935994148254395, 4.588381767272949, 5.601425647735596, 5.500121116638184, 6.259904384613037, 6.7664265632629395, 5.652078151702881, 7.146317958831787, 6.006643295288086, 5.652078151702881, 5.500121116638184, 4.9935994148254395, 5.500121116638184, 7.019687652587891, 6.7664265632629395, 6.006643295288086, 6.20925235748291, 5.3481645584106445, 6.057295799255371, 5.145556449890137, 6.817079067230225]"
20260827T043457543402Z,w_0059808,2025-10-28 00:00:00+00:00,2025-10-21 01:00:00+00:00,hybrid_no_event,6,w_0015488,2020-09-30 09:00:00+00:00,2020-10-07 08:00:00+00:00,2020-10-08 08:00:00+00:00,24,1824,False,False,False,0.0,0.6962130665779114,0.7700502872467041,0.5471459031105042,0.6251617074012756,1.0,0.0,"[12.98361873626709, 9.561416625976562, 11.524974822998047, 10.40294075012207, 11.244466781616211, 12.029890060424805, 13.264126777648926, 17.19124412536621, 17.303447723388672, 15.844803810119629, 16.377769470214844, 11.805482864379883, 12.647007942199707, 11.637178421020508, 9.898026466369629, 11.244466781616211, 12.647007942199707, 12.815313339233398, 11.13226318359375, 13.544634819030762, 12.815313339233398, 9.898026466369629, 10.178534507751465, 10.739551544189453]"
20260827T043457543402Z,w_0060235,2025-11-14 19:00:00+00:00,2025-11-07 20:00:00+00:00,hybrid_no_event,3,w_0029744,2022-05-17 09:00:00+00:00,2022-05-24 08:00:00+00:00,2022-05-25 08:00:00+00:00,24,1824,False,False,False,0.0,0.6925609111785889,0.7170220613479614,0.6566053032875061,0.6421663761138916,1.0,0.0,"[12.675236701965332, 10.901534080505371, 17.996341705322266, 17.996341705322266, 14.448938369750977, 21.543746948242188, 29.170665740966797, 36.62021255493164, 15.33578872680664, 13.20734691619873, 12.852606773376465, 12.320496559143066, 15.33578872680664, 20.124784469604492, 21.366374969482422, 17.464231491088867, 11.433645248413086, 18.883193969726562, 17.996341705322266, 17.996341705322266, 22.075857162475586, 19.237934112548828, 11.07890510559082, 16.754751205444336]"
20260827T043457543402Z,w_0060271,2025-11-16 07:00:00+00:00,2025-11-09 08:00:00+00:00,hybrid_no_event,3,w_0039680,2023-07-05 09:00:00+00:00,2023-07-12 08:00:00+00:00,2023-07-13 08:00:00+00:00,24,1824,False,False,False,0.0,0.7327232956886292,0.743939995765686,0.9572777152061462,0.22753101587295532,1.0,0.0,"[9.958721160888672, 11.027527809143066, 10.569467544555664, 12.859768867492676, 10.314990043640137, 10.823945045471191, 11.129319190979004, 11.332901000976562, 11.332901000976562, 10.823945045471191, 10.314990043640137, 2.8842358589172363, 7.617524147033691, 8.380958557128906, 5.021849632263184, 3.29140043258667, 2.9860267639160156, 4.716475963592529, 5.937970161437988, 6.141552448272705, 4.665580749511719, 2.3752803802490234, 6.141552448272705, 4.818267345428467]"
20260827T043457543402Z,w_0058297,2025-08-26 01:00:00+00:00,2025-08-19 02:00:00+00:00,random,7,w_0018584,2021-02-06 09:00:00+00:00,2021-02-13 08:00:00+00:00,2021-02-14 08:00:00+00:00,24,1824,False,False,False,0.0,0.0,0.3826029896736145,0.0,0.0,0.0,0.0,"[9.14106559753418, 8.486459732055664, 6.212563991546631, 7.487323760986328, 7.211700439453125, 7.177247047424316, 6.832717418670654, 8.383100509643555, 7.935212135314941, 9.037707328796387, 8.520912170410156, 7.5906829833984375, 8.176383018493652, 8.624271392822266, 7.79740047454834, 6.98775577545166, 6.488187789916992, 7.5217766761779785, 7.177247047424316, 9.14106559753418, 9.485595703125, 8.658724784851074, 7.62513542175293, 6.281469821929932]"
20260827T043457543402Z,w_0059975,2025-11-03 23:00:00+00:00,2025-10-28 00:00:00+00:00,random,5,w_0035744,2023-01-22 09:00:00+00:00,2023-01-29 08:00:00+00:00,2023-01-30 08:00:00+00:00,24,1824,False,True,False,0.0,0.0,0.4876142740249634,0.0,0.0,0.0,0.0,"[15.446884155273438, 12.659624099731445, 9.872363090515137, 6.34183406829834, 6.1560163497924805, 4.297842979431152, 7.270920276641846, 7.828372955322266, 1.8822174072265625, 2.439669609069824, 5.041112899780273, 7.270920276641846, 4.297842979431152, 4.297842979431152, 6.1560163497924805, 4.669476509094238, 2.439669609069824, 5.505655288696289, 6.713468551635742, 7.270920276641846, 4.855295181274414, 8.57164192199707, 5.226929664611816, 4.762386322021484]"
20260827T043457543402Z,w_0059987,2025-11-04 11:00:00+00:00,2025-10-28 12:00:00+00:00,random,4,w_0020552,2021-04-29 09:00:00+00:00,2021-05-06 08:00:00+00:00,2021-05-07 08:00:00+00:00,24,1824,False,False,False,0.0,0.0,0.5535624623298645,0.0,0.0,0.0,0.0,"[12.935981750488281, 17.727088928222656, 22.039085388183594, 20.84130859375, 19.403976440429688, 25.871971130371094, 10.540428161621094, 12.456871032714844, 24.913745880126953, 22.51819610595703, 10.300870895385742, 9.103095054626465, 9.821762084960938, 13.175535202026367, 17.0084228515625, 12.217314720153809, 14.612868309020996, 15.091979026794434, 15.091979026794434, 13.415091514587402, 10.540428161621094, 9.821762084960938, 13.175535202026367, 14.373311996459961]"
20260827T043457543402Z,w_0060604,2025-11-30 04:00:00+00:00,2025-11-23 05:00:00+00:00,random,7,w_0044936,2024-02-09 09:00:00+00:00,2024-02-16 08:00:00+00:00,2024-02-17 08:00:00+00:00,24,1824,False,False,False,0.0,0.0,0.6092007756233215,0.0,0.0,0.0,0.0,"[15.472745895385742, 10.030720710754395, 15.40717887878418, 20.78363800048828, 19.34117317199707, 16.259544372558594, 14.948213577270508, 14.095847129821777, 18.488807678222656, 16.980777740478516, 16.12841033935547, 13.177915573120117, 19.537872314453125, 13.505748748779297, 15.472745895385742, 14.68594741821289, 16.259544372558594, 11.66988468170166, 9.506187438964844, 13.112348556518555, 19.66900634765625, 17.046342849731445, 18.68550682067871, 25.3077335357666]"
20260827T043457543402Z,w_0060635,2025-12-01 11:00:00+00:00,2025-11-24 12:00:00+00:00,random,1,w_0044048,2024-01-03 09:00:00+00:00,2024-01-10 08:00:00+00:00,2024-01-11 08:00:00+00:00,24,1824,False,False,False,0.0,0.0,0.4672083854675293,0.0,0.0,0.0,0.0,"[21.341196060180664, 17.248857498168945, 16.945720672607422, 17.47620964050293, 20.052865982055664, 21.568546295166016, 26.115589141845703, 25.88823699951172, 20.128650665283203, 16.64258575439453, 17.85512924194336, 13.308087348937988, 16.718368530273438, 18.537185668945312, 11.565054893493652, 9.822021484375, 12.095542907714844, 13.611223220825195, 18.385618209838867, 26.873432159423828, 20.65913963317871, 26.418725967407227, 27.17656707763672, 27.782838821411133]"
