run_id,model,subset,event_availability_mode,n_origins,n_points,horizon,mse,mae,rmse,mape,smape,r2
20260827T043457543402Z,A05_trace_residual_ungated,all,retrospective_event_start,2460,59040,23,58.87793390709443,4.989604216200731,7.673195807946936,83.02843535543649,45.884097112290135,0.1708914036638951
20260827T043457543402Z,A05_trace_residual_ungated,all,retrospective_event_start,2460,59040,24,56.116348712280654,4.945541879595295,7.4910846152129835,71.65280329933238,45.776010986505646,0.1898824804818675
20260827T043457543402Z,A05_trace_residual_ungated,all,retrospective_event_start,2460,59040,macro,44.95895358841267,4.250081341688554,6.601569605603018,61.78762079852505,39.397331288751765,0.37735185090686535
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,overall,45.25176611850818,4.254549034635804,6.726943296810831,60.73915194362299,39.09146727814484,0.3756674303605302
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,1,10.178102441538805,2.0392986398418964,3.1903138468713084,27.38572180142725,21.53457340446437,0.8610248171126278
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,2,17.193135974809497,2.6956537930938778,4.146460656368212,36.63344278174382,27.45944402060575,0.761272187272972
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,3,23.086738729656357,3.1230023284406268,4.804866151065642,42.61117244693378,30.232278800793576,0.6777633157316353
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,4,29.169559910772996,3.449056715882937,5.400885104385484,44.9701667294848,32.72983341817955,0.5905844636895594
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,5,33.25658096844923,3.6232995165977817,5.766851911437403,46.38865201861435,33.91554413728719,0.5309663880077002
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,6,35.1881332511759,3.824892808531642,5.931958635322392,51.01919486142861,35.213666606226255,0.5059597793397373
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,7,38.51861963668151,3.998471837493867,6.206337054711217,55.40841218350997,37.125495244239076,0.4640212796645624
20260827T043457543402Z,A05_trace_residual_ungated,non_event,retrospective_event_start,2427,58248,8,46.38541597219214,4.289168629611121,6.810683957738176,54.772119882535584,40.28958006152533,0.3612535285624743
