run_id,model,subset,event_availability_mode,n_origins,n_points,horizon,mse,mae,rmse,mape,smape,r2
20260827T043457543402Z,C04_xgb_context_event,all,retrospective_event_start,2460,59040,overall,41.418918784286134,4.195005006333157,6.435753163716438,68.62365540247686,38.60267581005991,0.42550276059988923
20260827T043457543402Z,A02_xgb_matched_event_placebo,all,retrospective_event_start,2460,59040,overall,41.94271729288197,4.224711425913508,6.476319733682238,69.40740311674679,38.81202363789223,0.4182374623733124
20260827T043457543402Z,M08_event_timeraf_no_drift,all,retrospective_event_start,2460,59040,overall,41.08516374285365,4.136106848722919,6.409770958689059,65.99437282304812,38.079877679088426,0.4301320786885009
20260827T043457543402Z,A01_xgb_random_retrieval,all,retrospective_event_start,2460,59040,overall,41.95572972458954,4.221658739950483,6.477324271996079,69.09715339588013,38.694341866649836,0.4180569746562667
20260827T043457543402Z,M09_event_timeraf_full,all,retrospective_event_start,2460,59040,overall,41.19266279121029,4.148039633183182,6.418151041476843,66.28794820060651,38.21140643714583,0.42864102319184083
20260827T043457543402Z,M13_trace_raf,all,retrospective_event_start,2460,59040,overall,40.06215059187713,4.134315418359271,6.329466848943687,67.4420031397651,38.23053622147442,0.44432168692445984
20260827T043457543402Z,A04_trace_raw_analogue_fusion,all,retrospective_event_start,2460,59040,overall,40.11454475365047,4.155515589954857,6.333604404574892,68.31376927181147,38.44120317766557,0.4435949586036112
20260827T043457543402Z,A05_trace_residual_ungated,all,retrospective_event_start,2460,59040,overall,44.95895358841267,4.250081341688554,6.705143815639801,61.78762079852505,39.397331288751765,0.37640103892185783
20260827T043457543402Z,A06_trace_residual_constant,all,retrospective_event_start,2460,59040,overall,40.11454475365047,4.155515589954857,6.333604404574892,68.31376927181147,38.44120317766557,0.4435949586036112
20260827T043457543402Z,A03_trace_raf_no_event,all,retrospective_event_start,2460,59040,overall,40.062240912598554,4.134615414714956,6.329473983878799,67.44640118682244,38.232689408937404,0.4443204341393403
20260827T043457543402Z,A00_full_without_events,all,retrospective_event_start,2460,59040,overall,40.849099729483015,4.150826676597889,6.391330043854958,66.75060742058889,38.2980353304583,0.4334063825086816
20260827T043457543402Z,M10_frozen_chronos,all,retrospective_event_start,2460,59040,overall,47.53407947798713,4.2018647884370806,6.894496317932669,57.48924141895736,38.31497508492686,0.3406829961025085
20260827T043457543402Z,M11_chronos_event_retrieval,all,retrospective_event_start,2460,59040,overall,48.609258893484345,4.573643424605375,6.972034057108753,68.5065302843212,41.93118992101784,0.32576982057323045
20260827T043457543402Z,P00_chronos_climatology_fusion,all,retrospective_event_start,2460,59040,overall,48.15144057918288,4.738411057552797,6.939123905737876,84.55710796762055,44.831355882015586,0.3321199466854743
20260827T043457543402Z,P01_chronos_persistence_fusion,all,retrospective_event_start,2460,59040,overall,46.96444000433252,4.270289802122331,6.853060630428752,55.71864719885396,38.84781797643913,0.3485841271477752
20260827T043457543402Z,M12_validation_drift_router,all,retrospective_event_start,2460,59040,overall,41.4657627436351,4.189664763757494,6.439391488614053,67.87520425188558,38.44190119262641,0.42485301584269963
