run_id,model,horizon,model_mse,climatology_mse,skill_vs_climatology
20260827T043457543402Z,M09_event_timeraf_full,19,54.63061267134283,76.87074222671528,0.2893185223811098
20260827T043457543402Z,M09_event_timeraf_full,20,54.48960389162897,76.69896888622593,0.28956536596394133
20260827T043457543402Z,M09_event_timeraf_full,21,56.64903775306026,76.26200644536749,0.25717876576401844
20260827T043457543402Z,M09_event_timeraf_full,22,54.66169201307872,75.21150580613595,0.27322699596024735
20260827T043457543402Z,M09_event_timeraf_full,23,52.1279913534553,73.87431844661157,0.29436924157712774
20260827T043457543402Z,M09_event_timeraf_full,24,54.45790081799285,72.21063570541858,0.24584653928055078
20260827T043457543402Z,M13_trace_raf,1,8.45321260600713,75.40792956065759,0.8879002161277028
20260827T043457543402Z,M13_trace_raf,2,14.936076374409,74.25889523301069,0.7988648184497985
20260827T043457543402Z,M13_trace_raf,3,20.451603852119245,73.73175068710107,0.722621480413361
20260827T043457543402Z,M13_trace_raf,4,26.35156418707905,72.76903870519097,0.6378739549681689
20260827T043457543402Z,M13_trace_raf,5,29.963910827560266,71.8311824012206,0.5828565001172652
20260827T043457543402Z,M13_trace_raf,6,32.2232612464533,71.74750530496222,0.550879698053771
20260827T043457543402Z,M13_trace_raf,7,34.997706469162225,72.13315658433255,0.5148180375519046
20260827T043457543402Z,M13_trace_raf,8,37.316075124535466,72.98146214379322,0.4886910452545784
20260827T043457543402Z,M13_trace_raf,9,37.931387284550546,73.44464653052647,0.4835377515393886
20260827T043457543402Z,M13_trace_raf,10,39.49329114458177,73.38466272498346,0.46183180956234793
20260827T043457543402Z,M13_trace_raf,11,42.62545103551076,72.29489376241072,0.41039472060648363
20260827T043457543402Z,M13_trace_raf,12,41.93630941532182,71.78026962888498,0.41576829354167955
20260827T043457543402Z,M13_trace_raf,13,43.172736093769856,71.95015477127568,0.3999632630254535
20260827T043457543402Z,M13_trace_raf,14,46.09446178664036,72.7711440703363,0.3665832470341793
20260827T043457543402Z,M13_trace_raf,15,44.91940418672327,74.14212335220941,0.3941446217646708
20260827T043457543402Z,M13_trace_raf,16,46.483742731800746,75.32475104655654,0.38288886340865325
20260827T043457543402Z,M13_trace_raf,17,49.35102927215807,76.21281222775809,0.3524575746571975
20260827T043457543402Z,M13_trace_raf,18,49.38654885854866,76.67292463242012,0.35588020027520617
20260827T043457543402Z,M13_trace_raf,19,50.159998705455926,76.87074222671528,0.34747607148739657
20260827T043457543402Z,M13_trace_raf,20,50.96079321235007,76.69896888622593,0.3355739463988815
20260827T043457543402Z,M13_trace_raf,21,53.424521994312094,76.26200644536749,0.29946083922425637
20260827T043457543402Z,M13_trace_raf,22,54.36024411072258,75.21150580613595,0.27723499844770116
20260827T043457543402Z,M13_trace_raf,23,53.87780276897511,73.87431844661157,0.2706829125210515
20260827T043457543402Z,M13_trace_raf,24,52.62048091630356,72.21063570541858,0.27129182007249664
20260827T043457543402Z,A04_trace_raw_analogue_fusion,1,8.420209590867437,75.40792956065759,0.8883378758716047
